name,type,distance,moving_time,average_heartrate,total_elevation_gain,workout_type,start_date_local,mile_pace,week_start,is_warmup_cooldown,pace_percentile,distance_percentile
Liberty Twilight - 4:33.74 PR!,Run,1.0280625,4.55,151.6,0.0,Race,2025-05-09 20:31:10,4.425800960544714,2025-05-05,False,0.8980891719745223,0.21656050955414013
Evening Run,Run,0.6296875,4.833333333333333,148.8,0.0,Warmup/Cooldown,2025-05-09 20:09:28,7.675765095119934,2025-05-05,True,,
Wu,Run,0.7916249999999999,6.6,143.3,8.3,Warmup/Cooldown,2025-05-09 19:52:46,8.337280909521555,2025-05-05,True,,
Afternoon Run,Run,0.522875,4.783333333333333,122.3,0.0,Warmup/Cooldown,2025-05-09 16:17:34,9.148139293967647,2025-05-05,True,,
Three Mile Loop Forever ❤️,Run,3.0210000000000004,23.266666666666666,138.2,37.6,None,2025-05-08 16:40:38,7.701644047224979,2025-05-05,False,0.33121019108280253,0.5031847133757962
Afternoon Run,Run,0.7602500000000001,5.85,134.1,0.0,Warmup/Cooldown,2025-05-08 16:13:18,7.694837224597171,2025-05-05,True,,
Afternoon Run,Run,5.0355625,39.31666666666667,133.0,75.6,None,2025-05-07 16:41:45,7.807800353320343,2025-05-05,False,0.2229299363057325,0.7006369426751592
4x400 - Leg 2,Run,0.25193750000000004,0.9,140.1,0.0,Race,2025-05-06 20:06:41,3.5723145621433883,2025-05-05,False,1.0,0.006369426751592357
Evening Run,Run,0.5129375,4.733333333333333,166.0,9.8,Warmup/Cooldown,2025-05-06 19:14:13,9.227894886479021,2025-05-05,True,,
All-City 800m - 2:02.87 PR,Run,0.51025,2.05,135.5,0.0,Race,2025-05-06 18:47:27,4.017638412542871,2025-05-05,False,0.9617834394904459,0.10191082802547771
Evening Run,Run,0.953,7.916666666666667,140.7,25.4,Warmup/Cooldown,2025-05-06 18:14:08,8.307100384749914,2025-05-05,True,,
Afternoon Run,Run,3.8416875,29.4,148.6,32.9,None,2025-05-05 17:01:09,7.6528869149299625,2025-05-05,False,0.3503184713375796,0.5605095541401274
Afternoon Run,Run,0.7580625000000001,6.166666666666667,139.0,0.0,Warmup/Cooldown,2025-05-05 16:22:07,8.134773408085305,2025-05-05,True,,
Shoreline part 3 - 4x400 leg 2 ~55s,Run,0.2554375,0.9166666666666666,151.0,0.0,Race,2025-05-03 16:34:21,3.5886143055215727,2025-04-28,False,0.9872611464968153,0.01910828025477707
Shoreline part 2 - 800m ~2:04,Run,0.5131875,2.0833333333333335,155.4,0.0,Race,2025-05-03 15:07:19,4.059594852433727,2025-04-28,False,0.9554140127388535,0.11464968152866242
Afternoon Run,Run,0.594375,5.4,146.7,4.1,Warmup/Cooldown,2025-05-03 14:33:34,9.085173501577287,2025-04-28,True,,
Lunch Run,Run,1.3888125,11.383333333333333,159.8,5.0,Easy Run,2025-05-03 11:57:36,8.196450804794264,2025-04-28,False,0.12101910828025478,0.2929936305732484
DMR 1600 leg ~4:41,Run,1.04375,4.65,154.8,0.0,Race,2025-05-03 11:22:09,4.455089820359282,2025-04-28,False,0.89171974522293,0.22929936305732485
Morning Run,Run,1.3745625000000001,11.75,140.9,5.9,Easy Run,2025-05-03 10:31:25,8.54817441913336,2025-04-28,False,0.07643312101910828,0.28662420382165604
Afternoon Run,Run,2.7367500000000002,21.8,132.7,36.7,Easy Run,2025-05-02 16:52:31,7.9656526902347675,2025-04-28,False,0.17197452229299362,0.43312101910828027
Afternoon Run,Run,0.7671875,6.183333333333334,129.0,0.0,Warmup/Cooldown,2025-05-02 16:22:23,8.059742023082146,2025-04-28,True,,
Senior Night 3200 - good vibes only,Run,2.0180000000000002,10.55,177.3,0.0,None,2025-05-01 18:45:32,5.2279484638255695,2025-04-28,False,0.8471337579617835,0.35668789808917195
Afternoon Run,Run,0.7646875,6.7,135.1,0.0,Warmup/Cooldown,2025-05-01 15:18:39,8.761749080506744,2025-04-28,True,,
Taper Time!,Run,2.9183125000000003,22.616666666666667,145.0,38.5,Easy Run,2025-04-30 16:52:17,7.749912549347154,2025-04-28,False,0.28662420382165604,0.46496815286624205
Run,Run,5.7123125,46.65,143.5,132.9,None,2025-04-29 17:05:52,8.166570018709585,2025-04-28,False,0.1337579617834395,0.7579617834394905
Afternoon Run,Run,0.48700000000000004,2.45,104.0,0.0,None,2025-04-29 16:55:23,5.030800821355236,2025-04-28,False,0.8598726114649682,0.07006369426751592
Afternoon Run,Run,0.7680625000000001,5.816666666666666,150.9,0.0,Easy Run,2025-04-29 16:08:54,7.573168416198767,2025-04-28,False,0.42038216560509556,0.1592356687898089
Broken 400s - ‘Nuff said 🫠,Run,1.2418125,4.966666666666667,124.3,0.0,Workout,2025-04-28 17:14:18,3.9995302565134967,2025-04-28,False,0.9681528662420382,0.2802547770700637
Afternoon Run,Run,0.7281875,5.85,137.8,0.0,Warmup/Cooldown,2025-04-28 16:59:13,8.033645180671186,2025-04-28,True,,
Wu,Run,0.7574375000000001,5.966666666666667,135.2,0.0,Warmup/Cooldown,2025-04-28 16:29:56,7.877437632367906,2025-04-28,True,,
Federal Way Invite (0/5 stars) 800m - 2:04.54,Run,0.5006875000000001,1.95,159.8,9.3,Race,2025-04-26 17:13:47,3.8946448633129442,2025-04-21,False,0.9808917197452229,0.07643312101910828
Afternoon Run,Run,0.470875,3.3833333333333333,150.4,10.2,Easy Run,2025-04-26 16:56:34,7.185204849128396,2025-04-21,False,0.6878980891719745,0.05732484076433121
Morning Run,Run,0.44793750000000004,3.9166666666666665,126.8,9.9,Warmup/Cooldown,2025-04-26 07:55:09,8.743779359099575,2025-04-21,True,,
Afternoon Run,Run,5.4744375000000005,40.016666666666666,144.7,59.9,None,2025-04-25 16:51:26,7.309731212871946,2025-04-21,False,0.6178343949044586,0.7388535031847133
Wu,Run,0.7596875,5.95,134.9,0.0,Warmup/Cooldown,2025-04-25 16:10:58,7.8321678321678325,2025-04-21,True,,
🤩 @ELI STEUNKEL 🤩,Run,6.111875,47.1,142.6,116.5,None,2025-04-24 16:59:33,7.7063094385929025,2025-04-21,False,0.31210191082802546,0.7834394904458599
Wu,Run,0.76725,5.966666666666667,135.3,0.0,Warmup/Cooldown,2025-04-24 16:34:15,7.77669164765939,2025-04-21,True,,
